課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
8-2,48,大開眼界,dàkāi yǎnjiè,,to have one's eyes opened,mở mang tầm mắt,ให้ลืมตาเสียเถิด,မျက်စိဖွင့်ဖို့၊,目を開けること,눈을 뜨다,tener los ojos abiertos,membuka mata,3
8-2,49,X分之Y,X fēn zhī Y,,pattern for indicating percentages or fractions,X phần Y (mẫu câu chỉ phần trăm hoặc phân số),รูปแบบการแสดงเปอร์เซ็นต์หรือเศษส่วน,ရာခိုင်နှုန်း သို့မဟုတ် အပိုင်းကိန်းများကို ညွှန်ပြသည့် ပုံစံ,パーセントまたは分数を示すパターン,백분율이나 분수를 나타내는 패턴,patrón para indicar porcentajes o fracciones,pola untuk menunjukkan persentase atau pecahan,3
9-1,1,訂單,dìngdān,N,an order (trading),đơn đặt hàng (thương mại),คำสั่งซื้อ (การซื้อขาย),အော်ဒါ (အရောင်းအဝယ်),注文（取引）,주문(거래),una orden (comercio),pesanan (perdagangan),3
9-1,2,客戶,kèhù,N,"customer, client",khách hàng (thương mại),ลูกค้าลูกค้า,ဖောက်သည်၊ ဖောက်သည်,顧客、クライアント,"고객, 클라이언트","cliente, cliente","pelanggan, klien",3
9-1,3,方便,fāngbiàn,V,to offer convenience,tạo điều kiện thuận lợi,เพื่ออำนวยความสะดวก,အဆင်ပြေစေရန်,利便性を提供する,편리함을 제공하기 위해,ofrecer comodidad,menawarkan kenyamanan,3
9-1,4,訂購,dìnggòu,V,"to order, place an order","đặt mua, đặt hàng","สั่งซื้อ, สั่งซื้อ",အော်ဒါတင်ပါ။,注文する、注文する,"주문하다, 주문하다","ordenar, hacer un pedido","memesan, lakukan pemesanan",3
9-1,5,成立,chénglì,V,"to establish, set up",thành lập,"ก่อตั้ง, จัดตั้งขึ้น",တည်ထောင်ရန်၊ ထူထောင်ရန်,確立する、セットアップする,"설립하다, 설정하다","establecer, establecer","mendirikan, mengatur",3
9-1,6,假日,jiàrì,N,holiday,ngày lễ,วันหยุด,အားလပ်ရက်,休日,휴일,día festivo,hari libur,3
9-1,7,販賣,fànmài,V,to sell,bán hàng,ขาย (khai),ရောင်းသည် (yaung thi),売る (uru),팔다 (palda),vender,menjual,3
9-1,8,阿嬤,āmà,N,"grandma, older woman (Taiwanese)",bà ngoại/bà nội (tiếng Đài Loan),คุณยาย หญิงชรา (ชาวไต้หวัน),အဖွား၊ အဘွားကြီး (ထိုင်ဝမ်),おばあちゃん、年配の女性（台湾人）,"할머니, 나이든 여자 (대만인)","abuela, mujer mayor (taiwanesa)","nenek, wanita yang lebih tua (Taiwan)",3
9-1,9,中間商,zhōngjiān shāng,N,"middleman, reseller","người trung gian, nhà buôn",คนกลางผู้ค้าปลีก,လူလတ်၊ ပြန်လည်ရောင်းချသူ,仲介業者、再販業者,"중개인, 리셀러","intermediario, revendedor","perantara, pengecer",3
9-1,10,經營,jīngyíng,V,"to operate, run (a business)","vận hành, kinh doanh",เพื่อดำเนินการดำเนินการ (ธุรกิจ),လည်ပတ်ရန်၊ လည်ပတ်ရန် (လုပ်ငန်းတစ်ခု)၊,（ビジネスを）運営する、経営する,"(사업을) 운영하다, 운영하다","operar, administrar (un negocio)","mengoperasikan, menjalankan (bisnis)",3
9-1,11,宅配,zháipèi,Vi,express delivery,dịch vụ giao hàng tận nhà,จัดส่งด่วน,နေ့ချင်းပြန်,速達便,빠른 배송,entrega urgente,pengiriman ekspres,3
9-1,12,下,xià,V,to place (an order),đặt (hàng),เพื่อวาง (คำสั่งซื้อ),မှာယူရန် (အမိန့်စာ),(注文する),(주문을)하다,hacer (un pedido),menempatkan (memesan),3
9-1,13,既,jì,Adv,not merely,vừa... vừa... (không những... mà còn...),ไม่ใช่แค่เท่านั้น,မဟုတ်ပါ။,単にではない,뿐만 아니라,no simplemente,bukan hanya sekedar,3
9-1,14,隨時,suíshí,Adv,anytime,bất cứ lúc nào,ได้ตลอดเวลา,အချိန်မရွေး,いつでも,언제든지,en cualquier momento,kapan pun,3
9-1,15,搜尋,sōuxún,V,to search,tìm kiếm,เพื่อค้นหา,ရှာဖွေရန်,検索する,검색하다,buscar,mencari,3
9-1,16,冰箱,bīngxiāng,N,refrigerator (lit. ice box) ,tủ lạnh,ตู้เย็น (หมายถึงกล่องน้ำแข็ง),ရေခဲသေတ္တာ (စာသားအရ ရေခဲသေတ္တာ)၊,冷蔵庫（文字通りアイスボックス）,냉장고(말 그대로 아이스박스),"refrigerador (literalmente, caja de hielo)","kulkas (secara harfiah, kotak es)",3
9-1,17,吃虧,chīkuī,Vs-sep,to suffer a loss,chịu thiệt,ที่จะต้องประสบกับความสูญเสีย,ဆုံးရှုံးမှုကိုခံစားဖို့,損失を被る,손실을 입다,sufrir una pérdida,menderita kerugian,3
9-1,18,比價,bǐjià,V-sep,"to compare prices, price comparison",so sánh giá,เพื่อเปรียบเทียบราคาเปรียบเทียบราคา,စျေးနှုန်းနှိုင်းယှဉ်ရန်၊ စျေးနှုန်းနှိုင်းယှဉ်ရန်,価格を比較する、価格比較,"가격을 비교하다, 가격을 비교하다","comparar precios, comparación de precios","membandingkan harga, perbandingan harga",3
9-1,19,風險,fēngxiǎn,N,risk,rủi ro,เสี่ยง,အန္တရာယ်,リスク,위험,riesgo,mempertaruhkan,3
9-1,20,賣家,màijiā,N,seller,người bán,ผู้ขาย,ရောင်းသူ,売り手,파는 사람,vendedor,penjual,3
9-1,21,必須,bìxū,Vaux,"must, to have to ","phải, cần phải","ต้อง, จะต้อง",လုပ်ရမယ်၊ လုပ်ရမယ်။,しなければならない、しなければならない,"~해야 한다, ~해야 한다","debe, tener que","harus, harus",3
9-1,22,信用,xìnyòng,N,credibility,"uy tín, tín nhiệm",ความน่าเชื่อถือ,ယုံကြည်ကိုးစားမှု,信頼性,믿을 수 있음,credibilidad,kredibilitas,3
9-1,23,萬一,wànyī,Conj,in case,"phòng khi, đề phòng trường hợp",ในกรณี,ခဲ့လျှင်,万一に備えて,만일의 경우,En caso,jika,3
9-1,24,滿意,mǎnyì,Vst,satisfied,hài lòng,พอใจ,ကျေနပ်သည်။,満足,만족하는,satisfecho,puas,3
9-1,25,以內,yǐnèi,N,within,trong vòng,ภายใน,အတွင်း,内で,이내에,dentro,di dalam,3
9-1,26,普遍,pǔbiàn,Vs,"widespread, common","phổ biến, rộng rãi",แพร่หลายทั่วไป,ပျံ့နှံ့၊ ဘုံ,広く普及している、一般的な,"널리 퍼진, 흔한","generalizado, común","tersebar luas, umum",3
9-1,27,選擇,xuǎnzé,V,to choose,lựa chọn (động từ),ที่จะเลือก,ရွေးချယ်ရန်,選択する,선택하다,elegir,memilih,3
9-1,28,網購,wǎng gòu,,online shopping,mua sắm trực tuyến,ช้อปปิ้งออนไลน์,အွန်လိုင်းစျေးဝယ်,オンラインショッピング,온라인 쇼핑,compras en línea,belanja online,3
9-1,29,貨比三家不吃虧,huò bǐ sān jiā bù chīkuī,,shop around and you won't get ripped off (lit. Compare products at three stores and you won't be cheated.),So sánh hàng hóa ở ba cửa hàng thì sẽ không bị chịu thiệt.,ช้อปให้ทั่วแล้วคุณจะไม่โดนโกง (จริงๆ แล้วเปรียบเทียบสินค้าสามร้านแล้วคุณจะไม่ถูกโกง),စျေးဝယ်လိုက်လျှင် ဆုတ်ဖြဲမည်မဟုတ်ပါ (စာသားအရ၊ စတိုးဆိုင်သုံးဆိုင်ရှိ ကုန်ပစ္စည်းများကို နှိုင်းယှဉ်ကြည့်ပါ၊ သင်သည် လှည့်စားခံရမည်မဟုတ်ပါ။),買い物をしても騙されない（文字通り、3 つの店で商品を比較すれば騙されない）。,여기저기 쇼핑하면 사기 당하지 않을 것입니다. (문자 그대로 세 매장에서 제품을 비교하면 속지 않을 것입니다.),"compare precios y no lo estafarán (literalmente, compare productos en tres tiendas y no lo engañarán)","berbelanjalah dan Anda tidak akan ditipu (secara harfiah, Bandingkan produk di tiga toko dan Anda tidak akan ditipu.)",3
9-1,30,兩成,liǎng chéng,,"20％, literally 2/10",hai phần mười (20%),20% อย่างแท้จริง 2/10,20%၊ စာသားအရ 2/10,20％、文字通り2/10,"20%, 말 그대로 2/10","20%, literalmente 2/10","20％, secara harafiah 2/10",3
9-2,1,鳳梨,fènglí,N,pineapple,quả dứa (thơm),สัปปะรด,နာနတ်သီး,パイナップル,파인애플,piña,nanas,3
9-2,2,農產品,nóngchǎnpǐn,N,agricultural product,nông sản,สินค้าเกษตร,စိုက်ပျိုးရေးထုတ်ကုန်,農産物,농산물,producto agrícola,hasil pertanian,3
9-2,3,出口,chūkǒu,V,to export,xuất khẩu,เพื่อส่งออก,တင်ပို့ရန်,輸出する,수출하다,exportar,mengekspor,3
9-2,4,曾經,céngjīng,Adv,"been the case before, once",đã từng,เคยเป็นเช่นนั้นมาก่อนครั้งหนึ่ง,အရင်ကလည်း တစ်ကြိမ်၊,以前もそうだった、かつて,"예전에도 그랬었고, 한 번도 그랬어","Ha sido el caso antes, una vez","pernah terjadi sebelumnya, sekali",3
9-2,5,占,zhàn,Vst,"to constitute, to account for",chiếm (tỷ lệ),เพื่อประกอบขึ้นเพื่อบัญชี,ဖွဲ့စည်းရန်,構成する、説明する,"구성하다, 설명하다","constituir, dar cuenta de","membentuk, mempertanggungjawabkan",3
9-2,6,成本,chéngběn,N,costs,chi phí,ค่าใช้จ่าย,ကုန်ကျစရိတ်,費用,소송 비용,costos,biaya,3
9-2,7,價格,jiàgé,N,price,giá cả,ราคา,စျေးနှုန်း,価格,가격,precio,harga,3
9-2,8,競爭,jìngzhēng,Vi,to compete against,cạnh tranh,เพื่อแข่งขันกับ,ယှဉ်ပြိုင်ရန်,と競争する,경쟁하다,competir contra,bersaing,3
9-2,9,好運,hǎoyùn,N,good luck,vận may,ขอให้โชคดี,ကံကောင်းပါစေ။,幸運を,행운을 빌어요,buena suerte,semoga beruntung,3
9-2,10,內餡,nèixiàn,N,filling (of pastries etc.),nhân bên trong (của bánh),ไส้ (ขนมอบ ฯลฯ),ဖြည့်စွက်စာ (ကိတ်မုန့်စသည်ဖြင့်),（ペストリーなどの）詰め物,채우기 (과자 등의),"relleno (de bollería, etc.)","isian (kue kering, dll.)",3
9-2,11,當做,dāngzuò,V,"to treat as, to serve as","coi như, dùng như",ที่จะปฏิบัติต่อเพื่อทำหน้าที่เป็น,အဖြစ် သဘောထားသည်၊ အဖြစ် အသုံးပြုသည်,として扱う、として奉仕する,"~처럼 대하다, ~로 봉사하다","tratar como, servir como","memperlakukan sebagai, melayani sebagai",3
9-2,12,喜餅,xǐbǐng,N,wedding-announcement pastries,bánh báo hỷ (bánh thông báo đám cưới),ขนมอบประกาศงานแต่งงาน,မင်္ဂလာဆောင်-ကြေငြာချက် pastries,結婚発表用のペストリー,결혼 발표 페이스트리,pasteles de anuncio de boda,kue-kue pengumuman pernikahan,3
9-2,13,喜愛,xǐ’ài,Vst,fond of,yêu thích,ชอบของ,ကြိုက်တယ်။,好き,좋아하다,aficionado a,menyukai,3
9-2,14,茶點,chádiǎn,N,"snacks, dessert (served with tea)","điểm tâm, đồ ăn nhẹ (dùng với trà)",ของว่าง ของหวาน (เสิร์ฟพร้อมชา),အဆာပြေ ၊ အချိုပွဲ (လက်ဖက်ရည် နှင့်),軽食、デザート（お茶付き）,"스낵, 디저트(차와 함께 제공)","bocadillos, postre (servido con té)","makanan ringan, hidangan penutup (disajikan dengan teh)",3
9-2,15,商機,shāngjī,N,business opportunity,cơ hội kinh doanh,โอกาสทางธุรกิจ,စီးပွားရေးအခွင့်အလမ်း,ビジネスチャンス,사업 기회,oportunidad de negocio,peluang bisnis,3
9-2,16,代表,dàibiǎo,V,to represent,đại diện cho,เพื่อเป็นตัวแทน,ကိုယ်စားပြုရန်,表す,대표하다,representar,mewakili,3
